price,city,region,district,floor,age,heating_type,total_floors,furnished_house,baths,rooms,salon,area,net area
45000,Ankara,Keçiören,Sancaktepe,3. floor,3,Merkezi (Pay Ölçer),24,Eşyalı Değil,2,4,1,215,185
34000,Ankara,Keçiören,Yükseltepe,Middle floor,0,Kombi,17,Eşyalı Değil,2,4,1,180,170
45000,Ankara,Çankaya,İlkbahar,13. floor,7,Merkezi (Pay Ölçer),28,Eşyalı Değil,2,4,1,250,225
23000,Ankara,Keçiören,Atapark,4. floor,10,Kombi,5,Eşyalı Değil,1,3,1,145,135
50000,Ankara,Çankaya,Gaziosmanpaşa,2. floor,31,Merkezi,12,Eşyalı Değil,2,4,1,240,220
9000,Ankara,Polatlı,Şehitlik,2. floor,25,Kombi,3,Eşyalı Değil,1,3,1,120,110
21500,Ankara,Keçiören,Ayvalı,High entrance,20,Kombi,3,Eşyalı,1,3,1,120,110
74000,Ankara,Çankaya,Oran,3. floor,15,Merkezi (Pay Ölçer),30,Eşyalı,2,4,1,160,149
110000,Ankara,Çankaya,Ayrancı,19. floor,20,Merkezi,20,Eşyalı,5,7,2,360,300
20000,Ankara,Gölbaşı,Kızılcaşar,Entrance floor,0,Merkezi,4,Eşyalı,1,1,1,30,25
15000,Ankara,Altındağ,Aydınlıkevler,2. floor,31,Kombi,3,Eşyalı Değil,1,2,1,105,99
34000,Ankara,Yenimahalle,Mehmet Akif Ersoy,7. floor,10,Merkezi (Pay Ölçer),15,Eşyalı Değil,2,3,1,160,150
23500,Ankara,Keçiören,Yayla,2. floor,5,Kombi,3,Eşyalı Değil,1,3,1,135,125
15500,Ankara,Yenimahalle,Demetlale,Middle floor,35,Kombi,6,Eşyalı,1,1,1,65,55
